上市公司简称,股票代码,年份,AI提及次数,AI战略态度,AI整体水平,AI岗位数,AI专利数,一致性判定
华域汽车,600741,2024.0,0,,,46,60,行动先行
华培动力,603121,2024.0,1,初步探索,低,7,7,言行一致
华塑控股,000509,2024.0,0,,无,0,0,未涉及AI
华塑科技,301157,2024.0,7,初步探索,低,4,65,言行一致
华塑股份,600935,2024.0,0,,无,0,0,未涉及AI
华夏航空,002928,2024.0,0,,,11,5,行动先行
华夏银行,600015,2024.0,0,,,0,49,行动先行
华大九天,301269,2024.0,3,初步探索,低,18,320,言行一致
华大基因,300676,2024.0,0,,,152,300,行动先行
华大智造,688114,2024.0,0,,,3,548,行动先行
华天科技,002185,2024.0,4,重点方向,中,0,112,言行一致
华天酒店,000428,2024.0,0,,无,0,0,未涉及AI
华如科技,301302,2024.0,35,核心战略,高,64,139,言行一致
华媒控股,000607,2024.0,0,,,6,0,行动先行
华孚时尚,002042,2024.0,0,,,9,11,行动先行
华宇软件,300271,2024.0,0,,,15,0,行动先行
华安证券,600909,2024.0,11,重点方向,中,1,18,言行一致
华安鑫创,300928,2024.0,0,,,0,0,未涉及AI
华宏科技,002645,2024.0,0,未提及,无,1,166,行动先行
华宝新能,301327,2024.0,0,未提及,无,4,722,行动先行
华宝股份,300741,2024.0,1,初步探索,低,0,77,言行一致
华密新材,920247,2024.0,0,,,0,38,行动先行
华尔泰,001217,2024.0,0,,,0,106,行动先行
华岭股份,920139,2024.0,0,,,5,214,行动先行
华峰化学,002064,2024.0,2,未提及,低,0,198,言行一致
华峰测控,688200,2024.0,3,初步探索,低,0,129,言行一致
华峰超纤,300180,2024.0,0,未提及,无,0,120,行动先行
华工科技,000988,2024.0,14,重点方向,中,12,92,言行一致
华帝股份,002035,2024.0,0,,,0,0,未涉及AI
华平股份,300074,2024.0,0,,,10,104,行动先行
华康洁净,301235,2024.0,3,初步探索,低,1,2,言行一致
华康股份,605077,2024.0,0,,无,0,293,行动先行
华建集团,600629,2024.0,2,重点方向,中,0,38,言行一致
华强科技,688151,2024.0,0,未提及,无,0,148,行动先行
ST,600360,2024.0,0,未提及,无,1,148,行动先行
华恒生物,688639,2024.0,5,重点方向,中,2,209,言行一致
华懋科技,603306,2024.0,1,初步探索,低,0,0,表态超前
华控赛格,000068,2024.0,0,,,0,0,未涉及AI
华数传媒,000156,2024.0,0,,,0,1,行动先行
华斯股份,002494,2024.0,0,,无,0,15,行动先行
华新水泥,600801,2024.0,0,,,3,85,行动先行
华新科技,301265,2024.0,0,,,0,13,行动先行
华旺科技,605377,2024.0,0,未提及,无,0,16,行动先行
华昌化工,002274,2024.0,0,未提及,无,0,7,行动先行
华昌达,300278,2024.0,0,,,0,16,行动先行
华明装备,002270,2024.0,4,重点方向,中,0,0,表态超前
华星创业,300025,2024.0,3,初步探索,低,10,4,言行一致
华映科技,000536,2024.0,0,,,0,0,未涉及AI
华是科技,301218,2024.0,0,,,12,78,行动先行
华智数媒,300426,2024.0,13,重点方向,高,0,0,表态超前
华曙高科,688433,2024.0,0,初步探索,低,1,275,行动先行
华林证券,002945,2024.0,0,,,12,21,行动先行
华森制药,002907,2024.0,1,初步探索,低,0,69,言行一致
华正新材,603186,2024.0,7,智能制造中的AI应用,低,3,173,言行一致
华民股份,300345,2024.0,3,初步探索,低,0,22,言行一致
华泰股份,600308,2024.0,5,重点方向,中,0,88,言行一致
华洋赛车,920058,2024.0,1,初步探索,低,0,18,言行一致
华测导航,300627,2024.0,5,重点方向,中,20,455,言行一致
华测检测,300012,2024.0,0,,,13,117,行动先行
华海清科,688120,2024.0,6,重点方向,中,12,610,言行一致
华海药业,600521,2024.0,0,,,3,702,行动先行
华海诚科,688535,2024.0,3,未提及,低,0,39,言行一致
华润三九,000999,2024.0,1,初步探索,低,38,193,言行一致
华润双鹤,600062,2024.0,1,重点方向,中,2,84,言行一致
华润微,688396,2024.0,0,,,3,0,行动先行
华润材料,301090,2024.0,1,初步探索,低,5,109,言行一致
江中药业,600750,2024.0,1,重点方向,低,0,234,言行一致
华源控股,002787,2024.0,0,未提及,无,0,200,行动先行
华灿光电,300323,2024.0,0,未提及,无,0,45,行动先行
华熙生物,688363,2024.0,12,核心战略,高,2,666,言行一致
华特气体,688268,2024.0,0,,,1,54,行动先行
华特达因,000915,2024.0,0,,,0,11,行动先行
华瑞股份,300626,2024.0,1,初步探索,低,0,39,言行一致
华瓷股份,001216,2024.0,0,,,1,63,行动先行
华生科技,605180,2024.0,0,,无,0,20,行动先行
华电国际,600027,2024.0,0,,无,0,398,行动先行
华电能源,600726,2024.0,0,,无,0,44,行动先行
华电辽能,600396,2024.0,0,未提及,无,0,17,行动先行
华盛昌,002980,2024.0,0,,,2,45,行动先行
华盛锂电,688353,2024.0,0,未提及,无,0,94,行动先行
华研精机,301138,2024.0,0,,,0,52,行动先行
华神科技,000790,2024.0,1,重点方向,低,4,44,言行一致
华秦科技,688281,2024.0,1,初步探索,低,0,124,言行一致
华立科技,301011,2024.0,0,,,2,33,行动先行
华策影视,300133,2024.0,10,核心战略,高,5,0,言行一致
华纬科技,001380,2024.0,0,,,0,28,行动先行
华纳药厂,688799,2024.0,1,初步探索,低,0,34,言行一致
华纺股份,600448,2024.0,0,,,0,146,行动先行
华统股份,002840,2024.0,0,,,0,2,行动先行
华维设计,920427,2024.0,0,,无,0,3,行动先行
华绿生物,300970,2024.0,0,,无,0,74,行动先行
华翔股份,603112,2024.0,0,,,0,23,行动先行
华联控股,000036,2024.0,0,,无,0,0,未涉及AI
华联股份,000882,2024.0,0,未提及,无,24,0,行动先行
华胜天成,600410,2024.0,0,,,129,129,行动先行
华能国际,600011,2024.0,0,,,0,3303,行动先行
华能水电,600025,2024.0,1,重点方向,中,0,2716,言行一致
内蒙华电,600863,2024.0,0,,无,0,100,行动先行
华自科技,300490,2024.0,2,重点方向,中,4,169,言行一致
华致酒行,300755,2024.0,1,初步探索,低,0,0,表态超前
华英农业,002321,2024.0,0,未提及,无,0,7,行动先行
华茂股份,000850,2024.0,0,,,0,331,行动先行
华荣股份,603855,2024.0,3,重点方向,中,1,105,言行一致
华菱精工,603356,2024.0,0,,,0,52,行动先行
华菱线缆,001208,2024.0,3,重点方向,中,0,171,言行一致
华菱钢铁,000932,2024.0,11,核心战略,高,0,0,表态超前
华蓝集团,301027,2024.0,8,重点方向,中,0,0,表态超前
华虹公司,688347,2024.0,0,未提及,无,0,0,未涉及AI
华融化学,301256,2024.0,0,,,0,41,行动先行
华西股份,000936,2024.0,0,,无,0,16,行动先行
华西证券,002926,2024.0,0,,,31,2,行动先行
华谊集团,600623,2024.0,0,,,0,0,未涉及AI
华贸物流,603128,2024.0,2,重点方向,低,1,0,言行一致
华资实业,600191,2024.0,0,,无,0,3,行动先行
华软科技,002453,2024.0,0,,无,0,26,行动先行
华辰装备,300809,2024.0,0,,,2,0,行动先行
华达新材,605158,2024.0,0,未提及,无,0,31,行动先行
华达科技,603358,2024.0,0,未提及,无,0,14,行动先行
华远地产,600743,2024.0,3,重点方向,中,0,0,表态超前
华通线缆,605196,2024.0,1,初步探索,低,0,86,言行一致
华邦健康,002004,2024.0,0,未提及,无,0,0,未涉及AI
华金资本,000532,2024.0,0,,,0,0,未涉及AI
华鑫股份,600621,2024.0,6,重点方向,中,7,10,言行一致
华钰矿业,601020,2024.0,0,,,0,3,行动先行
华银电力,600744,2024.0,0,,无,0,85,行动先行
华锋股份,002806,2024.0,3,重点方向,低,0,21,言行一致
华锐精密,688059,2024.0,0,未提及,无,0,67,行动先行
华锡有色,600301,2024.0,1,初步探索,低,0,6,言行一致
华锦股份,000059,2024.0,0,,无,0,270,行动先行
华阳变速,920146,2024.0,0,,无,0,27,行动先行
华阳国际,002949,2024.0,0,,,1,114,行动先行
华阳新材,600281,2024.0,0,,无,0,3,行动先行
华阳智能,301502,2024.0,0,初步探索,低,0,20,行动先行
华阳股份,600348,2024.0,1,初步探索,低,0,35,言行一致
华阳集团,002906,2024.0,4,重点方向,中,0,0,表态超前
华骐环保,300929,2024.0,0,,,6,92,行动先行
华鲁恒升,600426,2024.0,0,,,0,113,行动先行
华鹏飞,300350,2024.0,0,未提及,无,0,4,行动先行
华鼎股份,601113,2024.0,0,,,3,42,行动先行
协创数据,300857,2024.0,0,,,11,0,行动先行
协和电子,605258,2024.0,0,,,0,29,行动先行
协昌科技,301418,2024.0,1,初步探索,低,0,15,言行一致
协鑫能科,002015,2024.0,8,核心战略,高,2,3,言行一致
协鑫集成,002506,2024.0,1,初步探索,中,0,149,言行一致
卓兆点胶,920026,2024.0,3,重点方向,低,3,119,言行一致
卓创资讯,301299,2024.0,0,,,21,6,行动先行
卓易信息,688258,2024.0,0,,,0,76,行动先行
卓然股份,688121,2024.0,2,重点方向,中,0,95,言行一致
卓翼科技,002369,2024.0,5,重点方向,中,28,106,言行一致
卓胜微,300782,2024.0,7,初步探索,低,13,235,言行一致
卓郎智能,600545,2024.0,0,,,0,0,未涉及AI
卓锦股份,688701,2024.0,3,重点方向,高,2,62,言行一致
南亚新材,688519,2024.0,3,重点方向,低,2,97,言行一致
南京公用,000421,2024.0,0,,,0,0,未涉及AI
南京医药,600713,2024.0,4,重点方向,中,9,6,言行一致
南京商旅,600250,2024.0,0,,,0,0,未涉及AI
南京新百,600682,2024.0,0,,,5,0,行动先行
南京港,002040,2024.0,1,未提及,低,0,0,表态超前
南京熊猫,600775,2024.0,0,,,0,905,行动先行
南京聚隆,300644,2024.0,1,未提及,低,0,276,言行一致
南京银行,601009,2024.0,24,核心战略,高,2,19,言行一致
南京高科,600064,2024.0,0,,,0,0,未涉及AI
南侨食品,605339,2024.0,0,,无,1,0,行动先行
南兴股份,002757,2024.0,18,重点方向,中,0,233,言行一致
南凌科技,300921,2024.0,0,,,100,27,行动先行
南华仪器,300417,2024.0,0,,,0,30,行动先行
南华期货,603093,2024.0,0,,无,37,0,行动先行
南华生物,000504,2024.0,0,,,1,3,行动先行
南卫股份,603880,2024.0,0,未提及,无,0,24,行动先行
南大光电,300346,2024.0,2,未提及,无,0,117,言行一致
南大环境,300864,2024.0,0,,,0,124,行动先行
南天信息,000948,2024.0,0,,,44,66,行动先行
南威软件,603636,2024.0,0,,,175,300,行动先行
南宁百货,600712,2024.0,0,,无,0,0,未涉及AI
南山控股,002314,2024.0,0,未提及,无,2,0,行动先行
南山智尚,300918,2024.0,0,,,0,115,行动先行
南山铝业,600219,2024.0,0,,无,0,339,行动先行
南微医学,688029,2024.0,0,,,4,223,行动先行
南方泵业,300145,2024.0,1,初步探索,低,0,59,言行一致
南方精工,002553,2024.0,0,,,0,84,行动先行
南方航空,600029,2024.0,1,提及无人机管理,低,2,330,言行一致
南方路机,603280,2024.0,0,,,15,18,行动先行
南极光,300940,2024.0,6,初步探索,低,0,65,言行一致
南极电商,002127,2024.0,12,核心战略,高,0,0,表态超前
南模生物,688265,2024.0,1,初步探索,低,0,46,言行一致
南王科技,301355,2024.0,3,重点方向,中,1,24,言行一致
南玻,000012,2024.0,0,,,18,1150,行动先行
南矿集团,001360,2024.0,0,,,0,50,行动先行
南网储能,600995,2024.0,2,重点方向,中,0,63,言行一致
南网科技,688248,2024.0,18,依托人工智能技术，聚焦电网智能化、安全监管和智能运维，打造人工智能应用生态。,高,1,1097,言行一致
南网能源,003035,2024.0,0,未提及,无,0,54,行动先行
南芯科技,688484,2024.0,10,AI赋能业务，提升研发和运营效率,中,0,227,言行一致
南都物业,603506,2024.0,0,,,2,0,行动先行
南钢股份,600282,2024.0,0,核心战略,高,10,2773,行动先行
南风股份,300004,2024.0,0,,无,0,68,行动先行
博世科,300422,2024.0,0,,,3,240,行动先行
博云新材,002297,2024.0,0,,,0,60,行动先行
博亚精工,300971,2024.0,0,,无,3,85,行动先行
博众精工,688097,2024.0,12,重点方向,高,37,1980,言行一致
博俊科技,300926,2024.0,8,重点方向,中,0,25,言行一致
博力威,688345,2024.0,0,,,11,251,行动先行
博士眼镜,300622,2024.0,0,,,1,0,行动先行
博威合金,601137,2024.0,0,,,9,0,行动先行
博实结,301608,2024.0,15,核心战略,中,0,0,表态超前
博实股份,002698,2024.0,13,重点方向,高,8,154,言行一致
博彦科技,002649,2024.0,30,核心战略,高,648,36,言行一致
博思软件,300525,2024.0,0,,,47,108,行动先行
博拓生物,688767,2024.0,4,重点方向,低,0,50,言行一致
博敏电子,603936,2024.0,12,重点方向,中,2,112,言行一致
博晖创新,300318,2024.0,0,,无,8,56,行动先行
博杰股份,002975,2024.0,0,,,17,245,行动先行
博汇科技,688004,2024.0,0,,,2,0,行动先行
博汇纸业,600966,2024.0,0,,,0,68,行动先行
博汇股份,300839,2024.0,1,初步探索,低,1,32,言行一致
博济医药,300404,2024.0,0,,无,3,53,行动先行
博深股份,002282,2024.0,0,,无,0,6,行动先行
博源化工,000683,2024.0,0,,无,0,1,行动先行
博瑞传播,600880,2024.0,0,,,0,2,行动先行
博瑞医药,688166,2024.0,2,重点方向,中,4,0,言行一致
博盈特焊,301468,2024.0,0,未提及,无,0,37,行动先行
博睿数据,688229,2024.0,12,核心战略,高,107,166,言行一致
博硕科技,300951,2024.0,3,初步探索,低,29,189,言行一致
博科测试,301598,2024.0,0,无,无,6,0,行动先行
博纳影业,001330,2024.0,0,,,1,0,行动先行
博腾股份,300363,2024.0,1,初步探索,低,5,70,言行一致
博苑新材,301617,2024.0,0,,无,0,0,未涉及AI
博菲电气,001255,2024.0,0,,无,0,73,行动先行
博迁新材,605376,2024.0,0,,,0,98,行动先行
博迅生物,920504,2024.0,3,初步探索,低,0,17,言行一致
博迈科,603727,2024.0,0,,,0,81,行动先行
博通股份,600455,2024.0,1,重点方向,低,4,0,言行一致
博通集成,603068,2024.0,3,核心战略,中,6,1,言行一致
博闻科技,600883,2024.0,0,,无,0,0,未涉及AI
博隆技术,603325,2024.0,0,,,0,29,行动先行
博雅生物,300294,2024.0,0,未提及,无,2,57,行动先行
卡倍亿,300863,2024.0,10,重点方向,中,0,11,言行一致
卡莱特,301391,2024.0,0,,,9,199,行动先行
卧龙地产,600173,2024.0,0,未提及,无,0,0,未涉及AI
卧龙电驱,600580,2024.0,4,重点方向,中,1,824,言行一致
卫信康,603676,2024.0,0,,无,1,6,行动先行
卫光生物,002880,2024.0,0,,,0,47,行动先行
卫宁健康,300253,2024.0,0,,,52,255,行动先行
卫星化学,002648,2024.0,4,重点方向,中,6,104,言行一致
厚普股份,300471,2024.0,3,初步探索,低,3,28,言行一致
原尚股份,603813,2024.0,1,初步探索,低,0,14,言行一致
厦工股份,600815,2024.0,3,初步探索,低,0,39,言行一致
厦钨新能,688778,2024.0,0,,,1,236,行动先行
厦门信达,000701,2024.0,5,重点方向,中,2,0,言行一致
厦门国贸,600755,2024.0,2,重点方向,中,4,0,言行一致
厦门港务,000905,2024.0,2,重点方向,中,0,0,表态超前
厦门空港,600897,2024.0,0,,无,0,0,未涉及AI
厦门象屿,600057,2024.0,0,,,4,1,行动先行
厦门钨业,600549,2024.0,0,初步探索,低,23,439,行动先行
友好集团,600778,2024.0,1,初步探索,低,0,0,表态超前
友讯达,300514,2024.0,2,重点方向,低,9,309,言行一致
友车科技,688479,2024.0,0,,,12,0,行动先行
友邦吊顶,002718,2024.0,0,,,4,30,行动先行
友阿股份,002277,2024.0,0,,,4,0,行动先行
双一科技,300690,2024.0,0,,无,0,55,行动先行
双乐股份,301036,2024.0,0,,无,0,37,行动先行
双元科技,688623,2024.0,18,重点方向,中,3,68,言行一致
双塔食品,002481,2024.0,0,,无,1,54,行动先行
双成药业,002693,2024.0,0,,无,0,14,行动先行
双星新材,002585,2024.0,0,,,0,218,行动先行
双杰电气,300444,2024.0,1,初步探索,低,2,224,言行一致
双林股份,300100,2024.0,0,,,6,51,行动先行
双枪科技,001211,2024.0,0,,无,2,21,行动先行
双汇发展,000895,2024.0,0,,无,14,55,行动先行
双环传动,002472,2024.0,0,,,11,59,行动先行
双环科技,000707,2024.0,0,,无,0,89,行动先行
双箭股份,002381,2024.0,0,,,0,56,行动先行
双良节能,600481,2024.0,0,未提及,无,0,306,行动先行
双象股份,002395,2024.0,0,,无,0,40,行动先行
双飞集团,300817,2024.0,0,未提及,无,0,73,行动先行
双鹭药业,002038,2024.0,0,,,0,10,行动先行
口子窖,603589,2024.0,1,初步探索,低,0,9,言行一致
古井贡酒,000596,2024.0,0,,,0,160,行动先行
古汉医药,000590,2024.0,1,初步探索,低,0,4,言行一致
古越龙山,600059,2024.0,0,未提及,无,0,41,行动先行
可孚医疗,301087,2024.0,0,,,6,90,行动先行
可立克,002782,2024.0,0,,,0,42,行动先行
可靠股份,301009,2024.0,1,初步探索,低,6,91,言行一致
台基股份,300046,2024.0,0,,无,0,24,行动先行
史丹利,002588,2024.0,0,,,1,145,行动先行
司南导航,688592,2024.0,1,重点方向,中,8,11,言行一致
司太立,603520,2024.0,1,初步探索,低,0,51,言行一致
合众思壮,002383,2024.0,0,,,14,55,行动先行
合兴包装,002228,2024.0,3,核心战略,中,8,6,言行一致
合兴股份,605005,2024.0,0,重点方向,中,4,28,行动先行
合力泰,002217,2024.0,2,重点方向,中,3,7,言行一致
合力科技,603917,2024.0,0,未提及,无,0,43,行动先行
合合信息,688615,2024.0,40,持续聚焦人工智能与大数据领域研发创新，推动产品功能迭代与应用场景拓展,高,35,0,言行一致
合富中国,603122,2024.0,5,重点方向,高,1,0,言行一致
合康新能,300048,2024.0,10,智能制造为核心战略,高,1,88,言行一致
合百集团,000417,2024.0,1,初步探索,低,0,0,表态超前
合盛硅业,603260,2024.0,0,,,5,51,行动先行
合肥城建,002208,2024.0,0,,无,0,0,未涉及AI
合肥高科,920718,2024.0,0,,无,1,138,行动先行
合金投资,000633,2024.0,1,未提及,低,0,0,表态超前
吉冈精密,920720,2024.0,0,,,0,25,行动先行
吉华集团,603980,2024.0,0,,无,0,17,行动先行
吉大正元,003029,2024.0,0,,,3,28,行动先行
吉大通信,300597,2024.0,10,初步探索,低,6,45,言行一致
吉宏股份,002803,2024.0,5,核心战略,高,1,9,言行一致
吉峰科技,300022,2024.0,2,初步探索,中,0,0,表态超前
吉林化纤,000420,2024.0,0,,无,0,30,行动先行
吉林敖东,000623,2024.0,0,未提及,无,0,1,行动先行
吉林碳谷,920077,2024.0,0,,无,0,51,行动先行
吉比特,603444,2024.0,0,,,88,27,行动先行
吉祥航空,603885,2024.0,0,,无,9,1,行动先行
吉贝尔,688566,2024.0,2,初步探索,低,0,67,言行一致
同为股份,002835,2024.0,25,核心战略,高,44,55,言行一致
同享科技,920167,2024.0,0,未提及,无,0,0,未涉及AI
同仁堂,600085,2024.0,0,,,0,94,行动先行
同兴科技,003027,2024.0,0,,无,0,38,行动先行
同兴达,002845,2024.0,0,,,0,217,行动先行
同力日升,605286,2024.0,0,,,0,28,行动先行
同力股份,920599,2024.0,15,核心战略,高,4,39,言行一致
同和药业,300636,2024.0,0,,无,0,55,行动先行
同大股份,300321,2024.0,0,,无,0,37,行动先行
同庆楼,605108,2024.0,0,未提及,无,1,0,行动先行
同心传动,920454,2024.0,0,,,0,19,行动先行
同惠电子,920509,2024.0,0,,,6,97,行动先行
同方股份,600100,2024.0,25,核心战略,高,59,289,言行一致
同星科技,301252,2024.0,0,,,0,34,行动先行
同有科技,300302,2024.0,0,,,77,184,行动先行
同洲电子,002052,2024.0,0,,,26,988,行动先行
同济科技,600846,2024.0,1,初步探索,低,0,0,表态超前
同益中,688722,2024.0,0,未提及,无,0,66,行动先行
同益股份,300538,2024.0,3,初步探索,低,2,6,言行一致
同花顺,300033,2024.0,0,,,447,55,行动先行
同飞股份,300990,2024.0,3,初步探索,低,1,50,言行一致
名家汇,300506,2024.0,1,初步探索,低,2,60,言行一致
名臣健康,002919,2024.0,2,初步探索,低,0,38,言行一致
名雕股份,002830,2024.0,0,,,7,24,行动先行
君亭酒店,301073,2024.0,0,,无,0,0,未涉及AI
君实生物,688180,2024.0,2,未提及,低,2,95,言行一致
君禾股份,603617,2024.0,2,初步探索,低,0,23,言行一致
君逸数码,301172,2024.0,30,核心战略,高,6,89,言行一致
启明信息,002232,2024.0,0,,,17,404,行动先行
启明星辰,002439,2024.0,0,,,95,156,行动先行
启迪设计,300500,2024.0,7,核心战略,高,0,104,言行一致
吴通控股,300292,2024.0,0,未提及,无,9,30,行动先行
呈和科技,688625,2024.0,1,未提及,无,0,43,言行一致
周大生,002867,2024.0,0,,,8,12,行动先行
味知香,605089,2024.0,0,,,0,4,行动先行
和仁科技,300550,2024.0,0,,,21,23,行动先行
和元生物,688238,2024.0,7,重点方向,中,11,0,言行一致
和展能源,000809,2024.0,0,,无,0,0,未涉及AI
和晶科技,300279,2024.0,0,,,0,10,行动先行
和林微纳,688661,2024.0,10,初步探索,中,1,48,言行一致
和泰机电,001225,2024.0,0,,,2,38,行动先行
和而泰,002402,2024.0,0,,,509,480,行动先行
和胜股份,002824,2024.0,1,未提及,低,8,107,言行一致
和辉光电,688538,2024.0,0,未提及,无,0,801,行动先行
和达科技,688296,2024.0,0,,,38,53,行动先行
和远气体,002971,2024.0,0,未提及,无,8,21,行动先行
和邦生物,603077,2024.0,0,未提及,无,1,1,行动先行
和顺电气,300141,2024.0,0,未提及,无,0,48,行动先行
和顺石油,603353,2024.0,1,初步探索,低,0,0,表态超前
和顺科技,301237,2024.0,0,,无,0,39,行动先行
咸亨国际,605056,2024.0,20,核心战略,高,3,19,言行一致
品渥食品,300892,2024.0,0,,,2,0,行动先行
品茗科技,688109,2024.0,0,,,44,100,行动先行
品高股份,688227,2024.0,0,,,114,109,行动先行
哈三联,002900,2024.0,0,,无,0,77,行动先行
哈尔斯,002615,2024.0,0,,,11,102,行动先行
哈投股份,600864,2024.0,0,,,0,1,行动先行
哈森股份,603958,2024.0,0,,,2,0,行动先行
哈焊华通,301137,2024.0,1,初步探索,低,0,0,表态超前
哈空调,600202,2024.0,0,未提及,无,0,21,行动先行
哈药股份,600664,2024.0,0,未提及,无,0,72,行动先行
哈铁科技,688459,2024.0,8,重点方向,中,4,0,言行一致
唐人神,002567,2024.0,0,,,4,73,行动先行
唐山港,601000,2024.0,0,,,0,51,行动先行
唐源电气,300789,2024.0,30,核心战略,高,33,0,言行一致
唯万密封,301161,2024.0,1,未提及,无,0,14,言行一致
唯捷创芯,688153,2024.0,0,,,0,0,未涉及AI
唯特偶,301319,2024.0,0,,,2,68,行动先行
唯科科技,301196,2024.0,1,未提及,低,1,9,言行一致
唯赛勃,688718,2024.0,0,,无,0,9,行动先行
商络电子,300975,2024.0,8,未提及,无,10,2,言行一致
善水科技,301190,2024.0,0,,无,0,57,行动先行
喜悦智行,301198,2024.0,0,未提及,无,0,24,行动先行
嘉事堂,002462,2024.0,0,,无,0,0,未涉及AI
嘉亨家化,300955,2024.0,0,,无,0,56,行动先行
嘉元科技,688388,2024.0,0,,,0,275,行动先行
嘉化能源,600273,2024.0,0,,,0,34,行动先行
嘉华股份,603182,2024.0,0,,无,0,17,行动先行
嘉友国际,603871,2024.0,1,初步探索,低,2,4,言行一致
嘉和美康,688246,2024.0,40,核心战略,高,1,0,言行一致
嘉必优,688089,2024.0,13,核心战略,高,3,0,言行一致
嘉戎技术,301148,2024.0,2,重点方向,低,6,86,言行一致
嘉曼服饰,301276,2024.0,0,,无,0,0,未涉及AI
嘉欣丝绸,002404,2024.0,0,未提及,无,0,12,行动先行
嘉泽新能,601619,2024.0,0,,无,1,0,行动先行
嘉环科技,603206,2024.0,0,,,218,29,行动先行
嘉益股份,301004,2024.0,0,未提及,无,0,30,行动先行
嘉美包装,002969,2024.0,0,,无,0,0,未涉及AI
嘉诚国际,603535,2024.0,0,,,4,6,行动先行
嘉麟杰,002486,2024.0,0,,,0,78,行动先行
四会富仕,300852,2024.0,0,,,0,69,行动先行
四创电子,600990,2024.0,0,,,4,1065,行动先行
四川九洲,000801,2024.0,0,,,1,0,行动先行
四川双马,000935,2024.0,9,重点方向,低,0,0,表态超前
四川成渝,601107,2024.0,0,未提及,无,0,15,行动先行
四川美丰,000731,2024.0,1,初步探索,低,0,61,言行一致
四川路桥,600039,2024.0,1,初步探索,低,0,57,言行一致
四川长虹,600839,2024.0,0,,,120,5623,行动先行
四川黄金,001337,2024.0,0,,无,0,1,行动先行
四方光电,688665,2024.0,0,,,6,93,行动先行
四方新材,605122,2024.0,0,,,0,3,行动先行
四方科技,603339,2024.0,0,,,0,147,行动先行
四方精创,300468,2024.0,0,,,28,15,行动先行
四方股份,601126,2024.0,0,,,22,1703,行动先行
四方达,300179,2024.0,0,,无,0,116,行动先行
四环生物,000518,2024.0,0,,无,0,6,行动先行
四维图新,002405,2024.0,0,,,637,784,行动先行
回天新材,300041,2024.0,1,初步探索,低,1,189,言行一致
回盛生物,300871,2024.0,0,,,1,55,行动先行
因赛集团,300781,2024.0,50,核心战略,高,10,6,言行一致
园林股份,605303,2024.0,1,初步探索,低,0,68,言行一致
固德威,688390,2024.0,0,,,31,346,行动先行
固高科技,301510,2024.0,4,核心战略,高,3,66,言行一致
国义招标,920039,2024.0,0,未提及,低,2,30,行动先行
国信证券,002736,2024.0,10,核心战略,高,61,93,言行一致
国元证券,000728,2024.0,0,,,2,10,行动先行
国光电器,002045,2024.0,14,重点方向,高,58,205,言行一致
国光电气,688776,2024.0,0,,无,0,155,行动先行
国光股份,002749,2024.0,0,,无,0,127,行动先行
国光连锁,605188,2024.0,0,,无,0,0,未涉及AI
国创高新,002377,2024.0,0,,无,0,35,行动先行
国力股份,688103,2024.0,0,,,2,49,行动先行
国博电子,688375,2024.0,0,,,0,115,行动先行
国发股份,600538,2024.0,0,,,0,7,行动先行
国城矿业,000688,2024.0,0,,,0,0,未涉及AI
国子软件,920953,2024.0,1,重点方向,低,0,12,言行一致
国安股份,000839,2024.0,10,重点方向,高,0,1,言行一致
国安达,300902,2024.0,0,,,0,0,未涉及AI
国恩股份,002768,2024.0,0,,,0,143,行动先行
国投中鲁,600962,2024.0,0,,无,0,54,行动先行
国投丰乐,000713,2024.0,0,,无,0,30,行动先行
国投智能,300188,2024.0,0,,,322,635,行动先行
国投电力,600886,2024.0,0,,无,0,3,行动先行
国投资本,600061,2024.0,0,,,0,0,未涉及AI
国新健康,000503,2024.0,0,,,14,0,行动先行
国新能源,600617,2024.0,0,,无,0,0,未涉及AI
ST,600358,2024.0,0,,无,0,0,未涉及AI
国星光电,002449,2024.0,0,,,0,435,行动先行
国晟科技,603778,2024.0,0,,无,0,14,行动先行
国机汽车,600335,2024.0,0,未提及,无,0,0,未涉及AI
国机精工,002046,2024.0,0,未提及,无,5,183,行动先行
国机通用,600444,2024.0,1,初步探索,低,0,275,言行一致
国林科技,300786,2024.0,0,,无,0,16,行动先行
国民技术,300077,2024.0,0,,,19,897,行动先行
国泰环保,301203,2024.0,1,初步探索,低,0,177,言行一致
国泰集团,603977,2024.0,4,重点方向,中,0,1,言行一致
国海证券,000750,2024.0,5,重点方向,中,38,0,言行一致
国源科技,920184,2024.0,4,重点方向,中,11,6,言行一致
国瑞科技,300600,2024.0,0,,无,3,58,行动先行
国瓷材料,300285,2024.0,0,,,1,292,行动先行
国电南瑞,600406,2024.0,0,,,33,4529,行动先行
国电南自,600268,2024.0,0,,,1,486,行动先行
国电电力,600795,2024.0,1,初步探索,低,0,0,表态超前
国盛智科,688558,2024.0,0,,,0,140,行动先行
国盛证券,002670,2024.0,0,,无,0,0,未涉及AI
国睿科技,600562,2024.0,1,初步探索,低,11,0,言行一致
国科军工,688543,2024.0,0,未提及,无,1,0,行动先行
国科天成,301571,2024.0,0,重点方向,中,0,0,未涉及AI
国科微,300672,2024.0,50,核心战略,高,39,660,言行一致
国科恒泰,301370,2024.0,0,,,8,0,行动先行
国统股份,002205,2024.0,0,,,0,48,行动先行
